7.9249 	EXP 	background_2: autoDraw = True
7.9249 	EXP 	faces: autoDraw = True
7.9249 	EXP 	trial_counter: autoDraw = True
7.9249 	EXP 	reminder: autoDraw = True
8.9983 	EXP 	background_2: autoDraw = False
8.9983 	EXP 	faces: autoDraw = False
8.9983 	EXP 	trial_counter: autoDraw = False
8.9983 	EXP 	reminder: autoDraw = False
8.9983 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
8.9983 	EXP 	background_3: autoDraw = True
8.9983 	EXP 	textbox: autoDraw = True
8.9983 	EXP 	reminder_2: autoDraw = True
8.9983 	EXP 	trial_counter_2: autoDraw = True
9.9961 	EXP 	New trial (rep=0, index=3): {'imageFile': 'different/019_074_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different'}
10.0219 	EXP 	background_3: autoDraw = False
10.0219 	EXP 	textbox: autoDraw = False
10.0219 	EXP 	reminder_2: autoDraw = False
10.0219 	EXP 	trial_counter_2: autoDraw = False
10.0219 	EXP 	faces: image = 'different/019_074_L.jpg'
10.0219 	EXP 	background_2: autoDraw = True
10.0219 	EXP 	faces: autoDraw = True
10.0219 	EXP 	trial_counter: autoDraw = True
10.0219 	EXP 	reminder: autoDraw = True
10.8126 	EXP 	background_2: autoDraw = False
10.8126 	EXP 	faces: autoDraw = False
10.8126 	EXP 	trial_counter: autoDraw = False
10.8126 	EXP 	reminder: autoDraw = False
10.8126 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
10.8126 	EXP 	background_3: autoDraw = True
10.8126 	EXP 	textbox: autoDraw = True
10.8126 	EXP 	reminder_2: autoDraw = True
10.8126 	EXP 	trial_counter_2: autoDraw = True
11.7966 	EXP 	New trial (rep=0, index=4): {'imageFile': 'different/013_235_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different'}
11.8232 	EXP 	background_3: autoDraw = False
11.8232 	EXP 	textbox: autoDraw = False
11.8232 	EXP 	reminder_2: autoDraw = False
11.8232 	EXP 	trial_counter_2: autoDraw = False
11.8232 	EXP 	background_3: autoDraw = False
11.8232 	EXP 	textbox: autoDraw = False
11.8232 	EXP 	reminder_2: autoDraw = False
11.8232 	EXP 	trial_counter_2: autoDraw = False
11.8232 	EXP 	faces: image = 'different/013_235_R.jpg'
11.8232 	EXP 	background_2: autoDraw = True
11.8232 	EXP 	faces: autoDraw = True
11.8232 	EXP 	trial_counter: autoDraw = True
11.8232 	EXP 	reminder: autoDraw = True
13.6632 	EXP 	glasgow_face_matching: status = STOPPED
13.6777 	EXP 	background_2: autoDraw = False
13.6777 	EXP 	faces: autoDraw = False
13.6777 	EXP 	trial_counter: autoDraw = False
13.6777 	EXP 	reminder: autoDraw = False
13.6778 	EXP 	glasgow_face_matching: status = STOPPED
13.7750 	EXP 	window1: mouseVisible = True
